ID,Anio,PIB_USD,Ingreso_Per_Capita_USD,Poblacion_Total,Migracion_Neta,Pobreza_Tasa_Nacional_Porcentaje,Desempleo_Porcentaje,Inflacion_Porcentaje,Homicidios_Por_100k,origen
49,2008,179894594475.405,10683.2188772511,16838988,22488,,9.285,8.71626873039607,3.4918963063576,CP
50,2009,171777900623.892,10098.8017167286,17009731,24324,24.8,11.313,0.353045178360937,3.70376238471268,CP
51,2010,217051209238.534,12632.8704724192,17181464,26048,,8.547,1.41071107954321,3.14874215608169,CP
52,2011,251382573893.87,14487.3927832032,17351816,28086,21.7,7.492,3.34121694259302,3.66532251337043,CP
53,2012,267024782486.855,15241.9069981119,17519119,30870,,6.79,3.00744840213047,2.47729352143792,CP
54,2013,277395018842.417,15683.5486369155,17687006,36529,13.9,6.361,1.7895555398459,3.14355060592079,CP
55,2014,259560978224.359,14529.6767206336,17864195,52702,,6.761,4.71867527854672,2.4518317226161,CP
56,2015,242450355830.884,13433.9202987032,18047625,55689,11.2,6.605,4.34877353217044,2.32163505387454,CP
57,2016,249344863928.438,13649.8520452803,18267221,135864,,6.926,3.78619355893118,3.39405749254204,CP
58,2017,276154259981.097,14879.9086227187,18558868,220621,8.5,7.257,2.18271846868519,4.19745439747334,CP
59,2018,295857562991.709,15659.4808675628,18893191,237807,,7.623,2.43488981353057,4.36665251518391,CP
60,2019,278308438545.118,14496.9345640362,19197744,181339,,7.493,2.55754475703327,4.81306553520039,CP
61,2020,254103710483.324,13117.9930230086,19370624,26042,10.7,10.934,3.04549084804326,5.75613878004137,CP
62,2021,315507493783.262,16216.1840860289,19456334,65480,,9.281,4.52456838259144,4.65658124495601,CP
63,2022,301099244104.003,15399.1044717559,19553036,59374,6.5,8.249,11.643866711056,6.80201256720408,CP
64,2023,335802745366.38,17081.5180740049,19658835,62679,,9.013,7.58168251407962,6.34829073035101,CP
65,2024,329260633698.726,16658.9652720351,19764771,58316,,8.718,4.29763891572524,,CP
66,2025,357371159574.862,17994.5911957485,19859921,51712,,8.974,4.21293601694293,,CP
